property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,sare homes,sector 92,0.68,5239.0,3,3,2,11.0,Relatively New,1442.0,0,0,0,1,0,0,100,432.6666666666667
flat,vatika the seven lamps,sector 82,0.78,5932.0,2,2,2,0.0,Relatively New,1175.0,0,0,0,0,0,1,103,657.5
flat,raisina residency,sector 59,5.0,13058.0,4,4,3+,13.0,Relatively New,4254.0,1,1,1,1,0,1,174,957.25
flat,rwa,sector 7,0.48,6000.0,3,2,1,1.0,New Property,889.0,0,0,0,0,0,0,21,266.6666666666667
flat,alpha corp gurgaonone,sector 84,1.15,7497.0,2,2,3,8.0,Relatively New,1361.0,1,0,0,0,0,1,37,767.0
flat,signature global city,sector 37d,1.1,8800.0,3,3,3,1.0,Under Construction,1389.0,0,0,0,0,0,0,16,416.6666666666667
flat,shree vardhman victoria,sector 70,1.75,8974.0,3,4,2,16.0,Relatively New,1950.0,0,1,0,1,0,0,49,650.0
flat,eros wembley estate,sector 50,1.4,10174.0,3,3,2,9.0,Relatively New,1245.0,0,0,1,0,0,1,117,458.6666666666667
flat,tulip violet,sector 69,1.72,8731.0,4,4,1,12.0,Relatively New,1783.0,0,0,0,0,0,0,86,492.5
house,independent,sector 37d,1.16,7537.0,1,1,0,1.0,Relatively New,1535.0,0,0,0,0,0,0,0,1539.0
flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,4,4,3,2.0,Relatively New,1650.0,1,0,0,0,0,1,89,412.5
flat,dlf the skycourt,sector 86,1.56,8087.0,3,4,3+,17.0,Relatively New,1580.0,0,0,1,0,0,0,174,643.0
flat,hsiidc sidco shivalik apartments,manesar,0.73,3559.0,3,3,3+,2.0,Moderately Old,1705.0,0,1,0,0,0,0,80,683.6666666666666
house,unitech nirvana birch court,sector 50,11.95,36883.0,3,3,2,1.0,Moderately Old,3240.0,1,1,0,0,0,0,101,1080.0
flat,bptp terra,sector 37d,1.71,7805.0,3,3,3+,7.0,Relatively New,2191.0,1,0,0,0,0,0,38,730.3333333333334
flat,shri ram apartments,sector 4,0.46,5111.0,2,2,1,1.0,Relatively New,1000.0,0,0,0,0,0,1,69,450.0
house,ansals palam vihar,sector 2,2.75,17662.0,3,3,3,2.0,Moderately Old,1557.0,1,0,0,1,0,1,15,519.0
flat,park view apartments,sector 15,1.6,11034.0,3,3,3+,2.0,Moderately Old,1611.0,0,0,0,1,0,0,56,483.3333333333333
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3,2,2,1.0,Under Construction,630.0,0,0,0,0,0,0,0,189.0
flat,indiabulls enigma,sector 110,3.3,9851.0,4,5,3,7.0,Relatively New,3032.0,0,1,0,0,0,0,101,837.5
flat,ats tourmaline,sector 109,1.75,8140.0,3,4,3+,2.0,Relatively New,1946.0,0,1,0,0,1,0,65,716.6666666666666
flat,ansal heights 86,sector 86,0.95,5621.0,3,2,1,6.0,New Property,1878.0,0,0,0,0,0,0,15,563.3333333333334
flat,bptp terra,sector 37d,1.77,8079.0,4,3,3,15.0,Relatively New,2025.0,1,1,0,1,1,0,49,547.75
house,huda ashok vihar phase,sector 4,0.7,10234.0,3,2,1,2.0,New Property,684.0,1,0,0,0,0,0,7,228.0
house,dlf city phase 1,sector 26,3.25,3681.0,3,3,3,2.0,Old Property,8829.0,1,0,0,0,0,0,79,2943.0
flat,conscient heritage max,sector 102,1.7,11333.0,3,4,3+,8.0,Relatively New,1700.0,0,1,0,1,0,1,174,500.0
house,bptp astaire gardens,sector 70a,1.04,7172.0,3,3,3+,2.0,Relatively New,1611.0,0,0,0,0,1,1,145,483.3333333333333
flat,greenopolis,sector 89,0.8,6168.0,2,2,2,6.0,Under Construction,1441.0,0,0,0,0,0,0,44,648.5
flat,bestech park view grand spa,sector 81,4.5,10714.0,4,6,3+,17.0,Relatively New,3801.0,0,1,0,0,0,1,44,1050.0
flat,m3m woodshire,sector 107,0.82,6003.0,2,2,3+,7.0,Relatively New,1236.0,0,0,0,0,0,0,111,683.0
flat,aipl zen residences,sector 70a,1.25,9905.0,2,2,2,19.0,New Property,1402.0,0,0,0,0,0,0,42,631.0
flat,pioneer araya,sector 62,9.14,19488.0,4,6,3,16.0,Relatively New,3932.0,1,1,1,0,0,1,146,1172.5
flat,ramprastha the edge towers,sector 37d,0.8,5797.0,2,2,3,2.0,Relatively New,1300.0,0,0,0,0,0,0,78,690.0
flat,ansal heights 86,sector 86,0.82,6029.0,2,2,1,12.0,New Property,1300.0,0,0,0,0,0,0,49,680.0
flat,orchid petals,sector 49,1.9,10526.0,3,3,3,2.0,Old Property,1600.0,0,0,0,0,1,1,49,601.6666666666666
flat,ashiana anmol,sohna road,0.93,7294.0,2,2,2,9.0,Under Construction,1000.0,0,0,0,0,1,0,31,637.5
flat,supertech araville,sector 79,0.8,5267.0,2,2,2,12.0,New Property,1688.0,1,0,0,0,0,0,49,759.5
flat,tulip ivory,sector 70,2.1,8750.0,4,5,3+,5.0,Moderately Old,2114.0,0,1,0,0,0,1,120,600.0
flat,gls arawali homes,sohna road,0.27,4600.0,2,2,2,5.0,New Property,521.0,0,0,0,0,0,0,42,293.5
flat,bestech park view ananda,sector 81,0.95,10626.0,2,2,2,2.0,Relatively New,1112.0,0,0,0,0,0,1,104,447.0
flat,kiran residency,sector 56,1.54,8324.0,3,4,3+,5.0,Old Property,1900.0,0,1,0,0,0,1,98,616.6666666666666
flat,maxworth city residences,sector 10,0.9,7081.0,2,2,3,9.0,New Property,1086.0,0,0,0,0,1,0,52,635.5
flat,mapsko casa bella,sector 82,1.3,6379.0,4,4,3+,1.0,Relatively New,1774.0,0,1,0,0,0,0,130,509.5
flat,supertech araville,sector 79,1.1,5641.0,3,3,3,1.0,Relatively New,2167.0,0,0,0,0,0,1,106,650.0
flat,ambience creacions,sector 22,2.0,14493.0,2,2,2,9.0,Relatively New,1533.0,0,0,0,0,0,0,49,690.0
flat,bestech park view residency,sector 2,0.95,6714.0,2,2,3,1.0,Moderately Old,1281.0,0,0,0,0,0,1,82,707.5
flat,siddhi vinayak apartments,sector 55,1.44,9600.0,3,3,2,6.0,Moderately Old,1700.0,0,0,0,0,1,1,47,500.0
flat,gls avenue 51,sector 92,0.42,6562.0,3,3,1,2.0,Relatively New,711.0,0,0,0,0,0,0,20,213.33333333333334
flat,shree vardhman victoria,sector 70,1.23,9111.0,2,2,3,1.0,Relatively New,1222.0,1,0,0,0,0,0,43,675.0
flat,orchid petals,sector 49,1.95,9974.0,3,3,3,2.0,Old Property,1633.0,0,0,0,0,0,1,90,651.6666666666666
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,5.0,Relatively New,1466.0,0,0,0,0,0,0,44,583.3333333333334
house,satya the legend,sector 57,9.25,16577.0,5,5,3+,4.0,Relatively New,5580.0,1,1,1,1,0,1,160,1116.0
house,dlf city plots phase 2,sector 25,4.5,33333.0,5,3,2,3.0,Old Property,1350.0,0,0,1,1,0,0,25,270.0
flat,ramprastha the edge towers,sector 37d,0.8,8889.0,2,2,3,10.0,Relatively New,1310.0,0,0,0,0,1,0,166,450.0
flat,bestech altura,sector 79,1.85,8605.0,3,4,3+,11.0,New Property,1946.0,0,1,0,0,0,0,49,716.6666666666666
flat,rof ananda,sector 95,0.55,5500.0,3,2,2,14.0,New Property,866.0,1,0,0,0,0,2,30,333.3333333333333
house,international city by sobha phase 2,sector 109,8.48,23556.0,4,6,3+,3.0,New Property,3600.0,1,1,1,1,0,0,153,900.0
flat,ireo victory valley,sector 67,3.49,12998.0,3,3,3,19.0,Relatively New,2724.0,0,1,0,0,0,0,103,895.0
house,kothi,sector 17,6.95,15444.0,4,4,3+,2.0,Old Property,3500.0,1,1,1,1,0,0,33,1125.0
flat,godrej nature plus,sector 33,1.4,15119.0,3,2,3+,20.0,New Property,113.0,0,0,0,0,0,0,70,308.6666666666667
flat,chd avenue,sector 71,1.0,6734.0,3,3,3+,3.0,Relatively New,1344.0,0,0,0,0,0,1,7,495.0
flat,the lions cghs,sector 56,2.1,8750.0,3,4,3+,8.0,Old Property,2200.0,0,0,0,0,1,1,166,800.0
flat,ss the leaf,sector 85,2.13,7575.0,4,4,3,6.0,Relatively New,2600.0,0,0,0,0,0,0,49,703.0
flat,dlf the arbour,sector 63,7.52,18999.0,4,4,3,15.0,New Property,3956.0,0,0,0,0,0,0,61,989.5
flat,corona optus,sector 37,1.26,7250.0,3,3,3,4.0,New Property,1400.0,0,0,0,0,0,0,28,579.3333333333334
flat,madhur jeevan apartments,sector 56,1.59,8595.0,4,3,3+,3.0,Old Property,1900.0,0,0,0,0,1,1,33,462.5
house,sare crescent parc royal greens phase 1,sector 92,0.85,4877.0,4,4,3,4.0,Moderately Old,1743.0,0,0,0,0,0,0,0,435.75
flat,sare crescent parc,sector 92,0.7,5556.0,3,3,2,14.0,Under Construction,140.0,0,0,0,0,0,0,38,420.0
flat,the lions cghs,sector 56,2.05,7885.0,4,4,3+,6.0,Relatively New,2500.0,0,0,0,0,1,1,101,650.0
flat,unitech the palms,sector 41,2.75,16768.0,3,3,2,14.0,Old Property,1640.0,0,0,0,0,0,2,79,546.6666666666666
flat,vatika city,sector 49,1.98,9074.0,3,4,3,9.0,Moderately Old,1750.75,0,1,0,0,0,1,101,727.3333333333334
house,international city by sobha phase 2,sector 109,9.5,26389.0,7,6,3,3.0,Relatively New,3600.0,1,1,0,1,0,0,138,514.2857142857143
flat,tata primanti,sector 72,3.5,11427.0,4,5,3+,16.0,Relatively New,2625.0,0,1,0,0,1,0,31,765.75
house,independent,sector 55,3.55,24500.0,4,4,3+,2.0,Old Property,1449.0,0,0,0,0,0,1,27,362.25
flat,smart world gems,sector 89,0.86,7797.0,2,3,2,4.0,New Property,1226.0,1,1,0,1,0,1,72,551.5
flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,1956.0,0,1,0,0,0,2,0,586.6666666666666
flat,adani aangan arcade,sector 88a,0.45,7188.0,2,2,1,8.0,New Property,695.0,0,0,0,0,0,0,14,313.0
flat,bhemerlei,sohna road,0.69,5100.0,2,2,2,3.0,Under Construction,1350.0,0,0,0,0,0,0,0,676.5
house,independent,sector 110,0.34,6800.0,1,1,0,1.0,Moderately Old,500.0,0,0,0,0,0,0,0,500.0
flat,ireo victory valley,sector 67,2.95,12110.0,3,3,3+,14.0,Moderately Old,2236.0,0,1,0,1,0,1,165,812.0
flat,ireo victory valley,sector 67,3.5,14583.0,3,4,3,24.0,Relatively New,2490.0,0,1,0,1,0,1,149,800.0
flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,3,3,2,6.0,Under Construction,1619.0,0,0,0,0,0,0,24,596.3333333333334
flat,dlf express greens,manesar,1.2,6504.0,3,4,2,5.0,Relatively New,1670.0,0,1,0,0,1,0,43,615.0
flat,tulip petals,sector 89,1.1,7097.0,3,2,3,4.0,New Property,1550.0,0,0,0,0,0,0,0,516.6666666666666
flat,ireo the corridors,sector 67a,1.4,9434.0,2,2,2,8.0,Relatively New,1149.0,1,0,0,0,1,0,90,742.0
flat,tulip violet,sector 69,1.55,9639.0,3,3,2,2.0,Relatively New,1455.0,0,0,0,1,0,1,86,536.0
flat,sbr minda sec-1 imt manesar,manesar,0.64,4194.0,3,2,3+,6.0,Old Property,1696.0,0,0,0,0,0,0,51,508.6666666666667
house,independent,sector 43,5.5,28424.0,1,1,0,1.0,Old Property,1935.0,0,0,0,0,1,0,12,1935.0
flat,chd avenue,sector 71,1.1,6790.0,3,3,3,11.0,Relatively New,1466.0,0,0,0,0,1,0,72,540.0
flat,godrej nature plus,sector 33,1.3,8349.0,3,2,3+,18.0,New Property,1409.0,0,0,0,0,0,0,38,519.0
house,independent,sector 25,6.6,36667.0,6,7,3+,2.0,Moderately Old,1800.0,1,1,0,0,0,1,119,300.0
house,independent,sector 31,4.25,26235.0,5,5,3+,3.0,Moderately Old,1620.0,0,0,1,1,0,1,56,324.0
house,bptp pedestal,sector 70a,0.92,7751.0,2,3,3+,3.0,New Property,1319.0,0,0,0,0,1,0,153,593.5
flat,breez global heights,sohna road,0.4,6421.0,2,2,1,4.0,New Property,615.0,0,0,0,0,0,0,49,311.5
flat,dlf regal gardens,sector 90,1.15,6326.0,3,3,3+,18.0,Relatively New,1645.0,0,0,0,1,0,1,130,606.0
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Relatively New,1956.0,0,0,0,0,0,0,0,586.6666666666666
flat,smart world gems,sector 89,1.0,9033.0,2,2,2,1.0,Under Construction,1230.0,1,0,0,0,0,0,38,553.5
flat,bestech altura,sector 79,1.9,9000.0,3,4,2,11.0,New Property,2389.0,0,1,0,0,0,0,49,703.6666666666666
flat,dlf the ultima,sector 81,2.2,10461.0,3,3,3+,5.0,Relatively New,1570.0,1,1,0,1,1,2,49,701.0
flat,dlf regal gardens,sector 90,1.78,8040.0,4,4,3+,12.0,Relatively New,2005.0,0,0,0,0,0,0,61,553.5
house,sushant lok 1 builder floors,sector 43,2.45,7756.0,4,4,3+,3.0,Moderately Old,540.0,1,1,0,1,1,2,123,789.75
flat,smart world orchard,sector 61,2.45,15796.0,3,3,3,3.0,New Property,1223.0,1,1,0,0,0,0,119,517.0
flat,pareena laxmi apartments,sector 99,0.31,5905.0,2,2,2,6.0,New Property,583.0,0,0,0,0,0,0,74,262.5
flat,shree vardhman flora,sector 90,0.7,4614.0,2,2,3,9.0,New Property,1224.0,1,0,0,0,1,0,51,758.5
flat,paras dews,sector 106,1.35,8940.0,4,3,3,19.0,Old Property,1678.0,0,1,0,0,0,0,112,377.5
house,international city by sobha phase 1,sector 109,5.75,16429.0,4,4,2,3.0,Relatively New,4800.0,0,1,0,0,0,0,146,875.0
flat,dlf new town heights,sector 90,1.25,6477.0,3,3,3+,17.0,Relatively New,1700.0,0,1,0,1,0,0,65,643.3333333333334
house,independent,sector 3,3.5,9211.0,1,1,0,1.0,Moderately Old,3800.0,0,0,0,0,0,0,0,3800.0
flat,conscient habitat,sector 99,0.27,5602.0,2,2,1,8.0,Relatively New,538.0,0,0,0,0,1,0,49,241.0
flat,experion windchants,sector 112,3.75,13383.0,3,3,2,21.0,Relatively New,2225.56,0,1,0,0,0,1,159,934.0
flat,m3m skywalk,sector 74,1.54,11000.0,2,2,3+,22.0,Relatively New,1200.0,0,0,0,0,1,0,137,700.0
house,independent,sector 4,0.58,9619.0,2,2,1,2.0,Moderately Old,67.0,0,0,0,1,1,0,7,301.5
flat,tata primanti,sector 72,5.25,15648.0,4,4,3+,30.0,New Property,3000.0,0,1,0,0,0,1,174,838.75
flat,mahindra aura,sector 110,1.8,8815.0,3,3,3+,7.0,Relatively New,1850.0,0,1,0,0,0,1,136,680.6666666666666
house,anshul,sector 6,0.85,7727.0,2,2,0,4.0,Moderately Old,1222.0,0,0,0,0,0,0,0,550.0
flat,professional society,manesar,0.75,3067.0,3,4,3,3.0,Relatively New,2717.0,0,1,0,0,0,0,21,815.0
house,ansal celebrity homes,sector 2,5.2,10000.0,4,5,2,1.0,Old Property,5200.0,0,0,0,0,0,0,0,1300.0
flat,m3m woodshire,sector 107,0.9,6589.0,2,2,3+,14.0,New Property,1236.0,0,0,0,0,0,0,67,683.0
flat,dlf regal gardens,sector 90,1.25,7340.0,3,3,3,28.0,Moderately Old,1541.0,0,1,0,0,0,0,38,567.6666666666666
house,unitech aspen greens,sector 50,7.0,32407.0,4,4,2,2.0,Old Property,2160.0,0,1,0,0,0,0,29,540.0
house,unitech escape,sector 50,12.0,37037.0,5,6,3+,3.0,Moderately Old,3240.0,0,0,0,0,0,0,66,648.0
flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,11.0,New Property,1529.0,0,0,0,0,0,0,45,563.3333333333334
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3,3,3,2.0,Relatively New,1524.0,1,1,0,0,0,1,136,550.0
flat,ansal heights 86,sector 86,1.05,5541.0,3,3,3,9.0,Under Construction,1715.0,0,1,0,0,0,0,0,631.6666666666666
flat,ramshanti cooperative society,sector 52,1.76,7243.0,4,4,3+,12.0,New Property,2199.0,0,0,0,0,0,0,0,607.5
flat,bestech park view ananda,sector 81,1.1,6687.0,3,2,3+,5.0,Relatively New,1319.0,0,0,0,0,0,0,150,548.3333333333334
flat,sare crescent parc,sector 92,0.8,6033.0,3,2,2,3.0,Relatively New,1473.0,0,0,0,0,0,0,15,442.0
flat,vatika emilia floors,sector 83,0.6,5714.0,2,2,2,1.0,Relatively New,990.0,0,0,0,0,0,1,167,525.0
flat,orris aster court,sector 85,0.93,5671.0,3,3,3,8.0,Relatively New,1587.0,0,0,0,0,0,0,0,546.6666666666666
house,eldeco mansionz,sector 48,6.4,23704.0,4,4,3,3.0,Moderately Old,2700.0,0,1,1,0,0,1,151,675.0
flat,emaar gurgaon greens,sector 102,1.45,8788.0,3,3,2,7.0,Relatively New,1493.0,0,1,0,0,0,1,169,550.0
flat,ss the leaf,sector 85,1.18,10727.0,2,2,3,9.0,Relatively New,1700.0,1,0,0,0,0,1,150,550.0
house,rwa sector 46,sector 46,3.5,21605.0,4,4,2,2.0,Relatively New,1620.0,0,0,0,1,0,1,30,405.0
house,vatika india next,sector 83,1.7,7870.0,3,3,3+,4.0,New Property,2160.0,0,1,0,1,0,0,0,720.0
flat,sidhartha ncr one phase,sector 95,0.55,4867.0,2,2,2,14.0,New Property,1256.0,1,0,0,0,0,0,90,565.0
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10492.0,2,2,2,10.0,Relatively New,828.0,0,0,0,0,0,0,132,457.5
flat,trisara our homes 3,sohna road,0.35,5564.0,2,2,1,2.0,New Property,699.0,0,0,0,0,0,0,74,314.5
flat,tulip ivory,sector 70,5.0,10417.0,6,7,3+,0.0,Relatively New,5333.0,1,1,0,0,0,0,119,800.0
house,independent,sector 5,0.55,5000.0,2,1,0,1.0,Moderately Old,1100.0,0,0,0,0,0,0,0,550.0
flat,eldeco accolade,sector 33,1.2,8043.0,2,2,2,0.0,Under Construction,1492.0,0,0,0,0,0,0,56,746.0
flat,m3m skywalk,sector 74,2.2,10902.0,3,3,3,12.0,New Property,1826.0,1,0,0,0,0,1,15,672.6666666666666
flat,umang winter hills,sector 77,1.35,7781.0,3,3,3+,7.0,New Property,1451.0,0,0,1,0,0,1,96,578.3333333333334
flat,godrej nature plus,sector 33,1.2,13363.0,2,2,0,11.0,Under Construction,85.0,0,0,0,0,0,0,56,449.0
flat,signature global park 4,sector 36,0.72,6660.0,3,2,3,3.0,Under Construction,978.0,0,0,0,0,0,0,0,360.3333333333333
house,independent,sector 12,0.7,6034.0,3,3,0,1.0,Relatively New,1160.0,0,0,0,0,0,0,23,386.6666666666667
flat,tulip violet,sector 69,1.43,8888.0,3,3,2,1.0,Relatively New,1455.0,0,0,0,1,0,0,86,536.3333333333334
flat,hcbs sports ville,sohna road,0.22,4603.0,1,1,1,9.0,Relatively New,477.809521,0,0,0,0,0,1,44,478.0
flat,m3m golfestate,sector 65,5.2,17456.0,3,3,3,18.0,Relatively New,2696.0,1,1,0,0,0,1,76,993.0
flat,godrej oasis,sector 88a,1.3,7259.0,3,3,3+,4.0,Relatively New,1990.0,0,0,0,0,0,0,79,597.0
flat,tulip lemon,sector 69,0.62,12863.0,2,2,1,4.0,Relatively New,536.0,0,0,0,0,0,1,108,241.0
flat,ramsons kshitij,sector 95,0.33,3910.0,2,2,1,14.0,New Property,694.0,0,0,0,0,1,1,79,422.0
flat,mittal surya vihar,sector 21,0.8,7080.0,2,2,2,6.0,Old Property,1256.0,0,0,0,0,0,0,0,565.0
flat,dlf royalton tower,sector 43,6.5,22109.0,4,5,2,8.0,Relatively New,2661.0,0,1,0,0,0,0,15,735.0
house,independent,sector 26,20.0,44444.0,5,7,3+,3.0,Relatively New,4500.0,0,1,0,1,0,2,97,900.0
flat,imperia the esfera,sector 37,0.86,5450.0,2,3,3,9.0,Relatively New,1442.0,1,0,0,0,1,0,49,789.0
flat,ansals highland park,dwarka expressway,1.2,6186.0,3,3,3+,4.0,Under Construction,1940.0,0,1,0,0,0,0,0,646.6666666666666
flat,breez global heights,sohna road,0.46,6479.0,2,2,2,6.0,Relatively New,789.0,0,0,0,0,0,2,49,355.0
house,independent,sector 2,6.0,20000.0,4,4,1,2.0,Relatively New,3000.0,0,0,0,0,0,0,0,750.0
flat,m3m golfestate,sector 65,5.4,18127.0,3,4,3,19.0,Moderately Old,2696.0,1,1,0,0,0,1,174,993.0
flat,rof ananda,sector 95,0.26,6032.0,1,1,1,8.0,New Property,406.0,0,0,0,0,0,0,49,431.0
flat,sapphire eighty three,sector 83,0.65,9286.0,1,1,0,6.0,Relatively New,700.0,0,0,0,0,0,0,0,700.0
flat,emaar the palm drive,sector 66,3.9,18634.0,3,4,3,2.0,Relatively New,2200.0,0,0,0,0,0,0,0,697.6666666666666
house,independent,sector 7,3.1,13778.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,0,22,750.0
house,independent,sohna road,1.55,14720.0,2,3,2,1.0,New Property,1053.0,1,0,0,1,0,1,49,526.5
house,sobha city,sector 108,10.5,14323.0,5,4,3+,1.0,Moderately Old,7331.0,0,0,0,0,0,0,59,1466.2
flat,godrej aria,sector 79,1.0,6653.0,2,2,2,4.0,Relatively New,1300.0,1,0,0,0,0,0,49,751.5
flat,vatika independent floors,sector 82,1.16,6988.0,3,3,3+,1.0,Relatively New,1844.0,0,1,1,1,0,1,151,553.3333333333334
flat,tata primanti,sector 72,5.0,11111.0,4,4,3+,2.0,Moderately Old,4500.0,1,1,0,1,1,1,174,1125.0
house,independent,sector 38,4.0,21786.0,6,6,3+,4.0,Old Property,1836.0,1,1,0,1,1,1,137,306.0
flat,m3m sierra 68,sector 68,1.2,9002.0,2,2,3,1.0,Relatively New,982.0,0,0,0,0,0,2,76,666.5
flat,dlf the skycourt,sector 86,1.58,8191.0,3,3,1,16.0,Relatively New,1750.0,0,0,0,1,0,1,152,643.0
flat,greenopolis,sector 89,0.8,4819.0,2,3,3,8.0,Under Construction,1502.0,1,0,0,0,1,0,60,830.0
flat,signature global park,sohna road,0.85,7863.0,3,2,2,4.0,New Property,1080.0,0,0,0,0,0,0,23,360.3333333333333
flat,tulip violet,sector 69,1.4,8917.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,0,86,523.3333333333334
house,independent,sector 2,1.15,19360.0,3,3,2,2.0,Old Property,594.0,0,0,0,0,0,1,32,198.0
flat,guru gram haryana cghs,sector 56,1.39,7228.0,3,3,3,4.0,Moderately Old,1738.0,1,0,0,0,0,1,134,641.0
flat,pioneer araya,sector 62,9.2,19944.0,4,6,3,5.0,Relatively New,3867.0,0,1,0,1,0,1,156,1153.25
flat,godrej frontier,sector 80,1.4,6189.0,3,4,2,10.0,Moderately Old,1854.0,0,0,1,1,0,0,111,754.0
flat,bptp astaire gardens,sector 70a,0.97,6585.0,3,3,3+,1.0,Relatively New,1339.0,0,0,0,0,1,0,149,491.0
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1310.0,0,0,0,0,0,1,97,392.3333333333333
flat,signature global city 81,sector 81,0.8,14652.0,2,2,2,4.0,Under Construction,607.0,1,0,0,0,0,0,36,273.0
flat,raheja teachers apartments,sector 31,1.2,7273.0,3,2,2,1.0,Moderately Old,1450.0,0,0,0,0,1,2,105,550.0
house,independent,sector 23,5.5,21825.0,8,8,2,3.0,Moderately Old,2520.0,1,1,0,1,0,1,76,315.0
house,independent,sector 4,0.55,4074.0,3,3,2,2.0,Relatively New,1350.0,0,0,0,0,1,0,7,450.0
house,palam vihar extension west zone rwa,sector 2,0.65,5778.0,2,2,1,1.0,Moderately Old,1125.0,0,0,1,0,0,0,23,562.5
flat,project krishna colony,sector 7,0.36,5143.0,2,2,1,0.0,Relatively New,700.0,0,0,0,0,0,0,0,350.0
flat,emaar mgf palm terraces select,sector 66,3.4,14108.0,4,4,3+,2.0,Relatively New,2210.0,0,1,0,0,0,1,157,602.5
house,independent,sohna road,5.5,5093.0,3,3,3+,2.0,Moderately Old,3500.0,1,1,0,1,1,0,49,3599.6666666666665
flat,tulip violet,sector 69,1.92,15360.0,4,4,2,0.0,Relatively New,1389.0,0,0,0,0,0,0,174,312.5
flat,today callidora,sector 73,1.0,7692.0,2,2,2,13.0,New Property,1444.0,0,0,0,0,0,0,0,650.0
flat,m3m sierra 68,sector 68,1.05,8537.0,2,2,2,11.0,New Property,1200.0,0,0,0,0,0,1,127,615.0
house,sushant lok 1 builder floors,sector 43,1.65,3395.0,4,4,3+,4.0,Moderately Old,540.0,0,0,0,0,1,2,49,1215.0
flat,pareena coban residences,sector 99,1.4,7011.0,3,5,3+,6.0,New Property,1807.0,0,0,0,0,0,0,15,665.6666666666666
flat,housing board colony,sector 51,0.3,7317.0,1,1,2,0.0,Old Property,459.0,0,0,0,0,0,0,0,410.0
flat,m3m skycity,sector 65,1.8,13699.0,2,2,3,13.0,New Property,1456.0,0,0,0,0,0,0,73,657.0
flat,ardee city,sector 52,1.55,7381.0,4,4,3,1.0,Moderately Old,2100.0,0,0,0,0,0,0,0,525.0
flat,ireo the corridors,sector 67a,1.5,11111.0,2,2,2,10.0,Relatively New,1500.0,0,0,1,0,0,1,38,675.0
flat,raheja vedaanta,sector 108,1.5,5263.0,3,4,0,12.0,Relatively New,2850.0,0,0,0,0,0,0,0,950.0
flat,zara aavaas,sector 104,0.22,7309.0,1,2,2,2.0,New Property,335.0,0,0,0,0,0,0,60,301.0
flat,godrej nature plus,sector 33,1.5,9677.0,3,3,3,6.0,Under Construction,1403.0,1,0,0,0,0,0,72,516.6666666666666
flat,hcbs sports ville,sohna road,0.28,3769.0,2,2,1,11.0,Relatively New,743.0,0,0,0,0,0,0,38,371.5
flat,shri banke bihari society,sector 56,1.35,6750.0,3,3,3,5.0,Old Property,1800.0,0,0,0,0,1,1,82,666.6666666666666
flat,pareena coban residences,sector 99,1.05,6774.0,2,2,3,2.0,Relatively New,1390.0,1,0,0,0,0,0,49,775.0
flat,tulip violet,sector 69,3.05,9664.0,4,5,3+,14.0,Relatively New,2856.0,0,1,0,0,1,0,49,789.0
flat,ireo skyon,sector 60,3.75,13393.0,4,4,3,12.0,Relatively New,2650.0,0,1,0,0,0,1,49,700.0
flat,palam vihar society,sector 2,3.35,7444.0,4,4,3+,2.0,New Property,5000.0,1,0,0,0,0,0,66,1125.0
flat,emaar digihomes,sector 62,4.25,26562.0,3,3,3,8.0,Under Construction,1600.0,1,0,0,0,0,0,16,533.3333333333334
flat,maxworth city residences,sector 10,0.8,6400.0,2,3,2,9.0,New Property,1389.0,0,0,0,0,0,0,46,625.0
flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,4,4,3+,3.0,Relatively New,1734.0,0,0,0,0,0,0,93,433.5
flat,tulip lemon,sector 69,0.6,11407.0,2,1,1,11.0,Relatively New,584.0,0,0,0,0,0,0,0,263.0
flat,unitech fresco,sector 50,1.82,9913.0,3,3,3+,14.0,Moderately Old,1830.0,0,0,0,0,1,1,174,612.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929.0,3,3,3,6.0,New Property,1616.0,0,0,0,1,0,1,174,466.6666666666667
house,independent,sector 105,1.15,3285.0,3,2,1,1.0,Moderately Old,3889.0,0,0,0,0,0,0,0,1167.0
flat,vatika city homes,sector 83,0.8,6061.0,2,2,2,8.0,Moderately Old,1195.0,0,0,1,0,0,0,22,660.0
house,dlf city plots phase 4,sector 28,9.54,29444.0,6,5,3+,3.0,New Property,3240.0,1,1,1,1,0,0,153,540.0
flat,kiran residency,sector 56,1.5,6649.0,3,5,3+,4.0,Moderately Old,2250.0,1,0,0,1,0,1,134,752.0
