property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,hero homes,sector 104,1.4,15819.0,3,2,2,4.0,Under Construction,1120.0,0,0,0,0,0,0,49,295.0
flat,godrej oasis,sector 88a,1.0,6897.0,2,2,3,7.0,Relatively New,1611.0,1,0,0,0,0,0,72,725.0
flat,eldeco accolade,sohna road,1.3,7424.0,3,3,3+,10.0,Relatively New,1509.0,0,0,0,0,0,0,49,583.6666666666666
flat,orris carnation residency,sector 85,0.9,6429.0,3,3,2,12.0,Relatively New,1402.0,0,0,0,0,0,0,120,466.6666666666667
house,independent,sector 105,0.5,5556.0,2,2,0,1.0,Moderately Old,100.0,0,0,0,0,0,0,0,450.0
flat,vatika gurgaon,sector 83,1.15,5808.0,3,3,2,3.0,Relatively New,1350.0,1,1,1,1,0,1,165,660.0
flat,tulip violet,sector 69,1.36,8619.0,3,3,2,12.0,Relatively New,1428.0,0,0,0,1,0,1,49,526.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2,2,3,0.0,Relatively New,1286.0,0,0,0,0,0,0,80,600.0
house,independent,sector 55,2.8,18667.0,4,4,0,2.0,Old Property,1500.0,0,0,0,0,0,0,0,375.0
house,unitech espace,sector 50,10.45,32253.0,5,7,3+,3.0,Moderately Old,3240.0,1,1,0,1,1,1,153,648.0
flat,pivotal devaan,sector 84,0.34,7039.0,2,2,1,1.0,Relatively New,537.0,0,0,1,0,0,1,84,241.5
flat,pivotal devaan apartments,sector 84,0.39,6500.0,2,2,0,5.0,Relatively New,549.0,0,0,0,0,0,0,0,300.0
flat,gls arawali homes,sohna road,0.35,6076.0,2,2,2,12.0,New Property,521.0,0,0,0,0,0,0,42,288.0
flat,tarc maceo,sector 91,1.75,11118.0,4,3,3+,8.0,Relatively New,2107.0,1,1,1,1,0,0,128,393.5
flat,vatika city,sector 49,2.1,10417.0,3,3,3,9.0,Moderately Old,1604.25,0,0,0,1,0,1,132,672.0
flat,central park resorts,sector 48,3.65,15240.0,3,3,3+,9.0,Relatively New,2395.0,0,0,0,0,1,1,157,798.3333333333334
flat,ashiana mulberry,sohna road,0.95,6485.0,2,2,3+,3.0,New Property,1175.97,1,0,0,0,0,0,89,732.5
flat,tulip violet,sector 69,1.29,8227.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,1,86,522.6666666666666
house,suncity avenue 76,sector 76,0.75,10067.0,2,2,2,11.0,New Property,745.0,0,0,0,0,0,0,40,372.5
flat,dlf the primus,sector 82a,1.85,10283.0,3,3,3+,2.0,Relatively New,1668.0,0,0,0,0,0,1,44,599.6666666666666
flat,umang monsoon breeze,sector 78,0.7,5719.0,2,2,2,5.0,Moderately Old,1224.0,0,0,0,0,0,0,0,612.0
flat,rof ananda,sector 95,0.32,5829.0,2,2,1,9.0,Relatively New,610.0,0,0,0,1,0,1,71,274.5
flat,the crew bos chs manesar,manesar,0.85,3696.0,3,3,2,2.0,Moderately Old,2556.0,0,0,0,0,0,0,44,766.6666666666666
flat,spaze privvy the address,sector 93,1.25,5700.0,4,4,3,16.0,Relatively New,2105.0,0,0,0,0,0,0,0,548.25
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,2,2,1,3.0,Relatively New,1000.0,0,0,0,0,0,0,70,458.5
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,Relatively New,1084.0,0,0,0,0,1,0,0,599.0
house,independent,sector 25,10.0,37037.0,5,5,3+,3.0,Moderately Old,9500.0,0,1,0,1,0,2,29,540.0
flat,park royal apartment,sector 56,1.71,7600.0,3,3,3+,5.0,Moderately Old,2251.0,0,1,0,0,0,1,118,750.0
